keyFieldSize,nonKeyFieldSize,numOfFixedLengthField,numOfVarLengthField,numOfRows,timePerRow
23,116,6,8,1,0.3187900000000001
23,116,6,8,1,0.30784999999999996
23,116,8,6,1,0.3139100000000001
23,116,6,8,1,0.3278799999999999
23,116,6,8,1,0.31133
23,116,9,5,1,0.31163
23,116,5,9,1,0.32164000000000004
21,24,3,3,1,0.17922999999999997
21,24,3,3,1,0.1812
21,24,2,4,1,0.19305000000000003
21,24,3,3,1,0.18663999999999994
21,24,4,2,1,0.18152
21,24,2,4,1,0.18600999999999995
21,24,3,3,1,0.18979999999999989
21,24,2,4,1,0.18532999999999997
21,24,2,4,1,0.18666999999999995
21,24,2,4,1,0.18202
22,144,8,7,1,0.8964799999999999
22,144,7,8,1,0.7954100000000005
22,144,9,6,1,0.8489900000000001
22,144,12,3,1,0.91755
22,144,4,11,1,0.7665699999999996
22,144,8,7,1,0.9360599999999998
22,144,8,7,1,0.8273799999999994
22,144,8,7,1,0.7435800000000001
22,144,6,9,1,0.9000799999999998
22,144,7,8,1,0.7783400000000001
26,83,3,8,1,0.2559600000000001
26,83,5,6,1,0.26095
26,83,7,4,1,0.25281000000000003
26,83,7,4,1,0.26711
26,83,7,4,1,0.25886999999999993
26,83,6,5,1,0.27147999999999983
26,83,6,5,1,0.25744
26,83,10,1,1,0.27711
26,83,8,3,1,0.2685899999999999
26,83,5,6,1,0.26347999999999994
24,152,8,5,1,0.7761399999999999
24,152,3,10,1,0.8427199999999999
24,152,9,4,1,0.7217400000000004
24,152,7,6,1,0.7683300000000005
24,152,6,7,1,0.77985
24,152,9,4,1,0.7380899999999998
24,152,5,8,1,0.7287800000000001
24,152,5,8,1,0.7599399999999998
24,152,7,6,1,0.7550199999999998
24,152,5,8,1,0.8651599999999999
25,157,5,9,1,0.7415600000000002
25,157,7,7,1,0.7705400000000001
25,157,3,11,1,0.8698700000000004
25,157,4,10,1,0.7580500000000002
25,157,9,5,1,0.8159000000000001
25,157,8,6,1,0.8813399999999999
25,157,10,4,1,0.7494
25,157,9,5,1,0.8099800000000001
25,157,4,10,1,0.7060399999999999
25,157,6,8,1,0.7500000000000003
26,58,3,4,1,0.6257499999999998
26,58,1,6,1,0.6318900000000002
26,58,5,2,1,0.5863900000000001
26,58,4,3,1,0.5787499999999999
26,58,0,7,1,0.6609200000000002
26,58,2,5,1,0.57796
26,58,4,3,1,0.7572900000000001
26,58,4,3,1,0.6727399999999999
26,58,3,4,1,0.6458800000000001
26,58,6,1,1,0.53614
28,152,9,6,1,0.79559
28,152,8,7,1,0.7190499999999997
28,152,8,7,1,0.7171700000000001
28,152,7,8,1,0.8029600000000002
28,152,12,3,1,0.8029
28,152,8,7,1,0.7384199999999997
28,152,7,8,1,0.7568
28,152,6,9,1,0.76894
28,152,8,7,1,0.8142900000000003
28,152,5,10,1,0.8568800000000002
27,154,7,7,1,0.78695
27,154,5,9,1,0.7817300000000003
27,154,7,7,1,0.7459500000000001
27,154,8,6,1,0.8097200000000002
27,154,7,7,1,0.8455999999999999
27,154,8,6,1,0.77412
27,154,7,7,1,0.7555999999999996
27,154,5,9,1,0.8549199999999999
27,154,4,10,1,0.71073
27,154,10,4,1,0.7367100000000003
22,60,5,3,1,0.5759499999999999
22,60,3,5,1,0.6045999999999999
22,60,1,7,1,0.6009799999999997
22,60,5,3,1,0.6143399999999999
22,60,2,6,1,0.5745800000000001
22,60,4,4,1,0.6158200000000003
22,60,4,4,1,0.6604799999999998
22,60,1,7,1,0.6485900000000001
22,60,3,5,1,0.6384400000000001
22,60,4,4,1,0.6615200000000001
22,59,2,7,1,0.24066999999999997
22,59,4,5,1,0.23227999999999993
22,59,6,3,1,0.23992000000000008
22,59,3,6,1,0.2352
22,59,4,5,1,0.23686
22,59,6,3,1,0.23164
22,59,4,5,1,0.21647000000000005
22,59,5,4,1,0.23871000000000006
22,59,5,4,1,0.25616999999999995
22,59,7,2,1,0.23146000000000005
26,83,2,7,1,0.63383
26,83,4,5,1,0.6106500000000001
26,83,4,5,1,0.6683599999999997
26,83,5,4,1,0.5846500000000001
26,83,5,4,1,0.5909399999999998
26,83,5,4,1,0.6739
26,83,4,5,1,0.5563400000000002
26,83,2,7,1,0.7163400000000002
26,83,6,3,1,0.6342099999999999
26,83,6,3,1,0.6138800000000001
23,130,7,5,1,0.7257599999999996
23,130,6,6,1,0.7716000000000003
23,130,4,8,1,0.66164
23,130,8,4,1,0.7483299999999999
23,130,9,3,1,0.7815599999999999
23,130,9,3,1,0.6704899999999999
23,130,5,7,1,0.79864
23,130,4,8,1,0.6681999999999999
23,130,6,6,1,0.66278
23,130,5,7,1,0.77014
21,1,3,2,1,0.15483999999999998
21,1,4,1,1,0.15861999999999996
21,1,3,2,1,0.1629099999999999
21,1,2,3,1,0.16013
21,1,3,2,1,0.16580999999999999
21,1,4,1,1,0.1679
21,1,3,2,1,0.16734000000000002
21,1,1,4,1,0.16178
21,1,3,2,1,0.16400999999999996
21,1,3,2,1,0.17937000000000006
22,133,8,5,1,0.774
22,133,5,8,1,0.73506
22,133,6,7,1,0.7548599999999998
22,133,5,8,1,0.71513
22,133,6,7,1,0.8540500000000002
22,133,8,5,1,0.8290900000000001
22,133,7,6,1,0.7192500000000002
22,133,6,7,1,0.7195
22,133,6,7,1,0.8191400000000002
22,133,4,9,1,0.7710600000000001
