keyFieldSize,nonKeyFieldSize,numOfFixedLengthField,numOfVarLengthField,numOfRows,timePerRow
16,73,1,2,0,116.534
16,73,1,2,0,113.489
16,73,1,2,0,112.611
16,73,1,2,0,114.12
16,73,1,2,0,115.58
16,73,1,2,1,109.427
16,73,1,2,0,114.839
16,73,1,2,0,112.319
16,73,1,2,0,114.495
16,73,1,2,0,115.954
16,73,1,2,0,142.162
16,73,1,2,0,116.871
16,73,1,2,0,121.95
16,73,1,2,0,131.02
16,73,1,2,0,125.058
16,73,1,2,0,136.706
16,73,1,2,0,120.075
16,73,1,2,0,116.971
16,73,1,2,0,123.091
16,73,1,2,0,197.338
16,73,1,2,0,134.231
16,73,1,2,0,112.668
16,73,1,2,0,114.794
16,73,1,2,0,122.601
16,73,1,2,0,112.851
16,73,1,2,0,112.858
16,73,1,2,0,114.97
16,73,1,2,0,112.254
16,73,1,2,0,120.537
16,73,1,2,0,119.261
16,73,1,2,0,111.719
16,73,1,2,0,114.424
16,73,1,2,0,111.839
16,73,1,2,0,123.373
16,73,1,2,0,115.009
16,73,1,2,0,115.325
16,73,1,2,0,115.459
16,73,1,2,0,117.489
16,73,1,2,0,177.9
16,73,1,2,0,124.243
16,73,1,2,0,167.601
16,73,1,2,0,115.672
16,73,1,2,0,113.678
16,73,1,2,0,116.447
16,73,1,2,0,116.656
16,73,1,2,0,111.732
16,73,1,2,0,112.825
16,73,1,2,0,115.455
16,73,1,2,0,115.971
16,73,1,2,0,111.321
16,73,1,2,0,110.646
16,73,1,2,0,111.69
16,73,1,2,0,110.984
16,73,1,2,0,110.711
16,73,1,2,0,112.471
16,73,1,2,0,113.229
16,73,1,2,0,112.33
16,73,1,2,0,112.564
16,73,1,2,0,112.121
16,73,1,2,0,112.894
16,73,1,2,0,119.4
16,73,1,2,1,114.527
16,73,1,2,0,114.202
16,73,1,2,0,112.761
16,73,1,2,0,115.145
16,73,1,2,0,119.951
16,73,1,2,0,118.701
16,73,1,2,0,112.141
16,73,1,2,0,112.353
16,73,1,2,0,119.398
16,73,1,2,0,110.345
16,73,1,2,1,112.307
16,73,1,2,0,115.8
16,73,1,2,0,114.776
16,73,1,2,0,114.566
16,73,1,2,0,112.117
16,73,1,2,0,114.211
16,73,1,2,0,113.287
16,73,1,2,0,111.989
16,73,1,2,0,113.768
16,73,1,2,0,113.686
16,73,1,2,0,111.891
16,73,1,2,0,127.571
16,73,1,2,0,111.744
16,85,2,4,0,142.699
16,85,2,4,0,161.305
16,85,2,4,1,153.388
16,85,2,4,0,141.907
16,85,2,4,0,137.658
16,85,2,4,0,140.069
16,85,2,4,0,140.085
16,85,2,4,0,139.782
16,85,2,4,0,140.218
16,85,2,4,0,141.892
16,85,2,4,0,140.857
16,85,2,4,0,140.833
16,85,2,4,0,139.09
16,85,2,4,0,140.535
16,85,2,4,0,140.169
16,85,2,4,0,140.889
16,85,2,4,0,140.389
16,85,2,4,0,138.407
16,85,2,4,0,138.811
16,85,2,4,0,141.484
16,85,2,4,0,140.322
16,85,2,4,0,140.839
16,85,2,4,0,138.355
16,85,2,4,1,132.879
16,85,2,4,0,136.187
16,85,2,4,0,148.232
16,85,2,4,0,147.391
16,85,2,4,0,160.095
16,85,2,4,0,149.187
16,85,2,4,0,145.158
16,85,2,4,0,144.56
16,85,2,4,0,233.257
16,85,2,4,0,156.753
16,85,2,4,0,189.303
16,85,2,4,0,151.952
16,85,2,4,0,142.404
16,85,2,4,0,157.36
16,85,2,4,0,140.864
16,85,2,4,0,135.789
16,85,2,4,1,136.104
16,85,2,4,1,133.566
16,85,2,4,0,138.372
16,85,2,4,0,142.18
16,85,2,4,0,153.348
16,85,2,4,0,138.228
16,85,2,4,0,143.461
16,85,2,4,0,142.535
16,85,2,4,0,144.841
16,85,2,4,0,143.772
16,85,2,4,0,142.278
16,85,2,4,1,137.927
16,85,2,4,0,138.07
16,85,2,4,0,142.211
16,85,2,4,0,140.052
16,85,2,4,0,138.963
16,85,2,4,0,138.942
16,85,2,4,0,144.48
16,85,2,4,1,133.505
16,85,2,4,0,145.492
16,85,2,4,0,141.482
16,85,2,4,0,138.91
16,85,2,4,0,139.123
16,85,2,4,0,138.568
16,85,2,4,0,137.83
16,85,2,4,0,143.208
16,85,2,4,0,139.655
16,85,2,4,0,141.216
16,85,2,4,0,144.705
16,85,2,4,0,141.252
16,85,2,4,0,139.737
16,85,2,4,0,140.939
16,85,2,4,0,141.912
16,85,2,4,0,145.164
16,85,2,4,1,135.64
16,85,2,4,0,141.656
16,85,2,4,0,140.679
16,85,2,4,0,139.468
16,85,2,4,0,150.47
16,85,2,4,0,148.221
16,85,2,4,0,146.083
16,85,2,4,0,141.738
16,85,2,4,0,143.318
16,85,2,4,0,146.598
16,85,2,4,1,139.685
16,85,2,4,0,141.492
16,85,2,4,0,145.267
16,85,2,4,0,140.648
16,85,2,4,0,137.859
16,85,2,4,0,142.447
16,85,2,4,0,140.712
16,85,2,4,0,140.569
16,85,2,4,0,140.446
16,85,2,4,0,140.591
16,85,2,4,0,139.762
16,85,2,4,0,139.578
16,85,2,4,0,139.294
16,85,2,4,0,138.67
16,85,2,4,0,140.879
16,85,2,4,0,137.645
16,85,2,4,0,137.576
16,61,3,2,0,144.089
16,61,3,2,0,136.009
16,61,3,2,0,134.277
16,61,3,2,0,136.35
16,61,3,2,0,132.573
16,61,3,2,0,131.505
16,61,3,2,0,134.351
16,61,3,2,0,132.608
16,61,3,2,0,133.765
16,61,3,2,0,132.473
16,61,3,2,0,130.217
16,61,3,2,0,129.011
16,61,3,2,0,128.092
16,61,3,2,0,128.614
16,61,3,2,0,130.199
16,61,3,2,0,130.428
16,61,3,2,1,129.008
16,61,3,2,0,134.006
16,61,3,2,0,135.473
16,61,3,2,0,131.465
16,61,3,2,0,128.153
16,61,3,2,1,124.57
16,61,3,2,0,128.132
16,61,3,2,1,124.066
16,61,3,2,0,128.239
16,61,3,2,1,125.641
16,61,3,2,1,126.174
16,61,3,2,0,133.554
16,61,3,2,0,130.895
16,61,3,2,0,127.161
16,61,3,2,0,130.221
16,61,3,2,0,129.424
16,61,3,2,0,129.489
16,61,3,2,0,128.145
16,61,3,2,1,125.336
16,61,3,2,0,128.898
16,61,3,2,1,126.086
16,61,3,2,0,127.965
16,61,3,2,0,128.155
16,61,3,2,0,130.166
16,61,3,2,0,129.637
16,61,3,2,0,130.28
16,61,3,2,0,129.928
16,61,3,2,0,130.644
16,61,3,2,0,129.824
16,61,3,2,0,129.979
16,61,3,2,0,128.956
16,61,3,2,0,129.942
16,61,3,2,0,129.202
16,61,3,2,0,126.966
16,61,3,2,0,127.62
16,61,3,2,0,127.489
16,61,3,2,0,128.705
16,61,3,2,0,133.403
16,61,3,2,1,126.472
16,61,3,2,0,133.464
16,61,3,2,0,132.382
16,61,3,2,0,133.131
16,61,3,2,0,131.816
16,61,3,2,0,137.532
16,61,3,2,0,130.467
16,61,3,2,0,127.348
16,61,3,2,0,127.701
16,61,3,2,0,129.652
16,61,3,2,0,128.643
16,61,3,2,0,129.657
16,61,3,2,0,129.856
16,61,3,2,0,154.581
16,61,3,2,0,134.111
16,61,3,2,0,132.718
16,61,3,2,0,135.7
16,61,3,2,0,138.362
16,61,3,2,0,133.283
16,61,3,2,0,131.962
16,61,3,2,0,138.826
16,61,3,2,0,130.243
16,61,3,2,1,143.104
16,61,3,2,0,129.273
16,61,3,2,0,130.372
16,61,3,2,0,128.919
16,61,3,2,0,149.316
16,61,3,2,0,195.056
16,61,3,2,0,129.46
16,61,3,2,0,134.356
16,61,3,2,0,148.343
16,61,3,2,0,136.412
16,61,3,2,0,139.274
16,61,3,2,0,131.795
16,61,3,2,0,134.065
16,61,3,2,0,132.089
16,61,3,2,0,129.525
16,61,3,2,0,129.381
16,61,3,2,0,132.226
16,61,3,2,0,134.903
16,61,3,2,0,131.009
16,61,3,2,0,129.256
16,61,3,2,0,129.041
16,61,3,2,0,130.979
16,61,3,2,0,134.139
16,61,3,2,0,135.057
16,5,1,0,0,98.252
16,5,1,0,0,98.95
16,5,1,0,1,97.6
16,5,1,0,0,95.993
16,5,1,0,0,97.711
16,5,1,0,0,98.16
16,5,1,0,0,96.593
16,5,1,0,0,111.574
16,5,1,0,0,103.457
16,5,1,0,0,96.231
16,5,1,0,0,96.244
16,5,1,0,0,95.436
16,5,1,0,0,95.955
16,5,1,0,0,95.393
16,5,1,0,0,97.019
16,5,1,0,0,97.528
16,5,1,0,0,95.018
16,5,1,0,0,99.819
16,5,1,0,0,94.571
16,5,1,0,0,98.367
16,5,1,0,0,95.547
16,5,1,0,0,95.682
16,5,1,0,0,94.985
16,5,1,0,0,98.738
16,5,1,0,0,94.862
16,5,1,0,0,94.948
16,5,1,0,0,96.938
16,5,1,0,0,95.107
16,5,1,0,0,97.363
16,5,1,0,0,94.506
16,5,1,0,0,95.782
16,5,1,0,1,92.534
16,5,1,0,0,95.113
16,5,1,0,0,96.56
16,5,1,0,0,95.259
