keyFieldSize,nonKeyFieldSize,numOfFixedLengthField,numOfVarLengthField,numOfRows,timePerRow
16,103,5,1,0,56.441
16,103,5,1,0,41.993
16,103,5,1,0,35.713
16,103,5,1,0,33.356
16,103,5,1,1,32.584
16,103,5,1,0,46.424
16,103,5,1,0,45.045
16,103,5,1,0,72.84
16,103,5,1,1,33.522
16,103,5,1,0,45.28
16,103,5,1,0,53.148
16,103,5,1,0,44.572
16,103,5,1,0,52.501
16,103,5,1,0,70.625
16,103,5,1,0,45.911
16,103,5,1,0,39.213
16,103,5,1,1,37.51
16,103,5,1,0,31.681
16,103,5,1,0,66.947
16,103,5,1,0,40.51
16,103,5,1,0,43.599
16,103,5,1,0,30.086
16,103,5,1,0,62.589
16,103,5,1,0,38.359
16,103,5,1,0,35.782
16,103,5,1,0,32.579
16,103,5,1,0,50.808
16,103,5,1,1,47.142
16,103,5,1,0,29.834
16,103,5,1,0,34.439
16,103,5,1,0,30.476
16,103,5,1,0,41.477
16,103,5,1,0,50.98
16,103,5,1,1,28.159
16,103,5,1,0,35.382
16,103,5,1,0,39.959
16,103,5,1,0,37.674
16,103,5,1,0,40.304
16,103,5,1,0,28.868
16,103,5,1,0,45.568
16,103,5,1,0,51.353
16,103,5,1,0,36.838
16,103,5,1,0,41.359
16,103,5,1,1,36.357
16,103,5,1,0,61.577
16,103,5,1,0,35.318
16,103,5,1,0,43.653
16,103,5,1,0,73.565
16,103,5,1,0,69.806
16,103,5,1,0,39.94
16,103,5,1,0,86.043
16,103,5,1,0,108.889
16,103,5,1,0,75.846
16,103,5,1,0,53.214
16,103,5,1,0,31.464
16,103,5,1,0,46.79
16,103,5,1,0,34.843
16,103,5,1,0,29.367
16,103,5,1,1,36.158
16,103,5,1,0,68.397
16,103,5,1,0,33.324
16,103,5,1,0,50.778
16,103,5,1,0,70.244
16,103,5,1,0,66.966
16,103,5,1,0,41.66
16,103,5,1,0,32.123
16,103,5,1,0,61.402
16,103,5,1,0,62.344
16,103,5,1,1,53.922
16,103,5,1,0,50.152
16,103,5,1,0,49.437
16,103,5,1,0,38.169
16,103,5,1,0,61.855
16,103,5,1,0,50.7
16,103,5,1,0,55.536
16,103,5,1,0,49.759
16,103,5,1,0,64.389
16,103,5,1,0,87.605
16,103,5,1,0,42.716
16,103,5,1,0,39.195
16,103,5,1,0,48.358
16,103,5,1,1,55.442
